algorithm,case,dsc
A6,img_176,0.7605
A6,img_177,0.7726
A6,img_178,0.7966
A6,img_179,0.7324
A6,img_180,0.7379
A6,img_181,0.3091
A6,img_182,0.7668
A6,img_183,0.8102
A6,img_184,0.7654
A6,img_185,0.7489
A6,img_186,0.3418
A6,img_187,0.7888
A6,img_188,0.8413
A6,img_189,0.3661
A6,img_190,0.7506
A6,img_191,0.7731
A6,img_192,0.2775
A6,img_193,0.2803
A6,img_194,0.2214
A6,img_195,0.7591
A6,img_196,0.7402
A6,img_197,0.7308
A6,img_198,0.3974
A6,img_199,0.7701
A6,img_200,0.7498
A7,img_001,0.2574
A7,img_002,0.807
A7,img_003,0.8072
A7,img_004,0.4188
A7,img_005,0.3276
A7,img_006,0.8012
A7,img_007,0.8128
A7,img_008,0.755
A7,img_009,0.7636
A7,img_010,0.3527
A7,img_011,0.8096
A7,img_012,0.3608
A7,img_013,0.3157
A7,img_014,0.7672
A7,img_015,0.3631
A7,img_016,0.8618
A7,img_017,0.768
A7,img_018,0.8258
A7,img_019,0.8022
A7,img_020,0.4375
A7,img_021,0.7518
A7,img_022,0.8138
A7,img_023,0.747
A7,img_024,0.7166
A7,img_025,0.7868
A7,img_026,0.787
A7,img_027,0.7627
A7,img_028,0.7935
A7,img_029,0.4667
A7,img_030,0.7838
A7,img_031,0.829
A7,img_032,0.3541
A7,img_033,0.8037
A7,img_034,0.7933
A7,img_035,0.7778
A7,img_036,0.735
A7,img_037,0.7045
A7,img_038,0.3652
A7,img_039,0.7417
A7,img_040,0.7836
A7,img_041,0.807
A7,img_042,0.7916
A7,img_043,0.3124
A7,img_044,0.7617
A7,img_045,0.782
A7,img_046,0.8075
A7,img_047,0.7819
A7,img_048,0.748
A7,img_049,0.2483
A7,img_050,0.287
A7,img_051,0.3704
A7,img_052,0.323
A7,img_053,0.7855
A7,img_054,0.3929
A7,img_055,0.8119
A7,img_056,0.3863
A7,img_057,0.7396
A7,img_058,0.3963
A7,img_059,0.3423
A7,img_060,0.7879
A7,img_061,0.7661
A7,img_062,0.7788
A7,img_063,0.8068
A7,img_064,0.8031
A7,img_065,0.7767
A7,img_066,0.3622
A7,img_067,0.2953
A7,img_068,0.8105
A7,img_069,0.7948
A7,img_070,0.8056
A7,img_071,0.2486
A7,img_072,0.2999
A7,img_073,0.7433
A7,img_074,0.7943
A7,img_075,0.789
A7,img_076,0.802
A7,img_077,0.7903
A7,img_078,0.3905
A7,img_079,0.7702
A7,img_080,0.7517
A7,img_081,0.3001
A7,img_082,0.7731
A7,img_083,0.3471
A7,img_084,0.7998
A7,img_085,0.7875
A7,img_086,0.4873
A7,img_087,0.7452
A7,img_088,0.7971
A7,img_089,0.7815
A7,img_090,0.4036
A7,img_091,0.7285
A7,img_092,0.88
A7,img_093,0.8471
A7,img_094,0.747
A7,img_095,0.308
A7,img_096,0.7912
A7,img_097,0.309
A7,img_098,0.7517
A7,img_099,0.7938
A7,img_100,0.7548
A7,img_101,0.7504
A7,img_102,0.801
A7,img_103,0.7533
A7,img_104,0.342
A7,img_105,0.8058
A7,img_106,0.4807
A7,img_107,0.4074
A7,img_108,0.7974
A7,img_109,0.8206
A7,img_110,0.7964
A7,img_111,0.7868
A7,img_112,0.7833
A7,img_113,0.294
A7,img_114,0.8031
A7,img_115,0.3112
A7,img_116,0.7913
A7,img_117,0.8241
A7,img_118,0.7824
A7,img_119,0.3608
A7,img_120,0.7589
A7,img_121,0.7521
A7,img_122,0.3326
A7,img_123,0.361
A7,img_124,0.8149
A7,img_125,0.3494
A7,img_126,0.7789
A7,img_127,0.7994
A7,img_128,0.3139
A7,img_129,0.7407
A7,img_130,0.8031
A7,img_131,0.7767
A7,img_132,0.3741
A7,img_133,0.7108
A7,img_134,0.8174
A7,img_135,0.7986
A7,img_136,0.8403
A7,img_137,0.2709
A7,img_138,0.7708
A7,img_139,0.3889
A7,img_140,0.7677
A7,img_141,0.6889
A7,img_142,0.8746
A7,img_143,0.3492
A7,img_144,0.7822
A7,img_145,0.7887
A7,img_146,0.3654
A7,img_147,0.7424
A7,img_148,0.758
A7,img_149,0.7452
A7,img_150,0.7627
A7,img_151,0.7308
A7,img_152,0.7937
A7,img_153,0.3801
A7,img_154,0.7834
A7,img_155,0.7638
A7,img_156,0.8123
A7,img_157,0.7294
A7,img_158,0.7709
A7,img_159,0.7896
A7,img_160,0.784
A7,img_161,0.5288
A7,img_162,0.2556
A7,img_163,0.3339
A7,img_164,0.3376
A7,img_165,0.752
A7,img_166,0.7317
A7,img_167,0.3319
A7,img_168,0.3967
A7,img_169,0.7692
A7,img_170,0.7974
A7,img_171,0.4348
A7,img_172,0.8255
A7,img_173,0.754
A7,img_174,0.4249
A7,img_175,0.7621
A7,img_176,0.7874
A7,img_177,0.7617
A7,img_178,0.7739
A7,img_179,0.7845
A7,img_180,0.7371
A7,img_181,0.3656
A7,img_182,0.834
A7,img_183,0.321
A7,img_184,0.7167
A7,img_185,0.7668
A7,img_186,0.8158
A7,img_187,0.7684
A7,img_188,0.8572
A7,img_189,0.3962
A7,img_190,0.3041
A7,img_191,0.8087
A7,img_192,0.72
A7,img_193,0.779
A7,img_194,0.7633
A7,img_195,0.7557
A7,img_196,0.7928
A7,img_197,0.3607
A7,img_198,0.7872
A7,img_199,0.7846
A7,img_200,0.8004
A8,img_001,0.8233
A8,img_002,0.8591
A8,img_003,0.7504
A8,img_004,0.2827
A8,img_005,0.7872
A8,img_006,0.3947
A8,img_007,0.7143
A8,img_008,0.3758
A8,img_009,0.7593
A8,img_010,0.7167
A8,img_011,0.7074
A8,img_012,0.4661
A8,img_013,0.4082
A8,img_014,0.7427
A8,img_015,0.7912
A8,img_016,0.6886
A8,img_017,0.3205
A8,img_018,0.4033
A8,img_019,0.7046
A8,img_020,0.7245
A8,img_021,0.7161
A8,img_022,0.4597
A8,img_023,0.7309
A8,img_024,0.2759
A8,img_025,0.7785
A8,img_026,0.719
A8,img_027,0.6766
A8,img_028,0.8159
A8,img_029,0.7367
A8,img_030,0.7157
A8,img_031,0.7662
A8,img_032,0.4133
A8,img_033,0.7331
A8,img_034,0.7636
A8,img_035,0.7219
A8,img_036,0.7549
A8,img_037,0.4809
A8,img_038,0.4064
A8,img_039,0.41
A8,img_040,0.7252
A8,img_041,0.7889
A8,img_042,0.4694
A8,img_043,0.7918
A8,img_044,0.4449
A8,img_045,0.8043
A8,img_046,0.2773
A8,img_047,0.6673
A8,img_048,0.7876
A8,img_049,0.7878
A8,img_050,0.7269
A8,img_051,0.391
A8,img_052,0.3311
A8,img_053,0.7855
A8,img_054,0.3874
A8,img_055,0.6737
A8,img_056,0.7438
A8,img_057,0.7308
A8,img_058,0.6906
A8,img_059,0.7856
A8,img_060,0.4045
A8,img_061,0.4869
A8,img_062,0.8279
A8,img_063,0.7438
A8,img_064,0.4272
A8,img_065,0.6941
A8,img_066,0.751
A8,img_067,0.7292
A8,img_068,0.4088
A8,img_069,0.7796
A8,img_070,0.7994
A8,img_071,0.7942
A8,img_072,0.7637
A8,img_073,0.3448
A8,img_074,0.7858
A8,img_075,0.7666
A8,img_076,0.6783
A8,img_077,0.7532
A8,img_078,0.6891
A8,img_079,0.7817
A8,img_080,0.8393
A8,img_081,0.7565
A8,img_082,0.2793
A8,img_083,0.7477
A8,img_084,0.3671
A8,img_085,0.7304
A8,img_086,0.7386
A8,img_087,0.4623
A8,img_088,0.6869
A8,img_089,0.4125
A8,img_090,0.4169
A8,img_091,0.7195
A8,img_092,0.4489
A8,img_093,0.8004
A8,img_094,0.7377
A8,img_095,0.7948
A8,img_096,0.4015
A8,img_097,0.7408
A8,img_098,0.3281
A8,img_099,0.7815
A8,img_100,0.8093
A8,img_101,0.3235
A8,img_102,0.817
A8,img_103,0.7025
A8,img_104,0.448
A8,img_105,0.4304
A8,img_106,0.254
A8,img_107,0.3828
A8,img_108,0.7336
A8,img_109,0.7336
A8,img_110,0.7376
A8,img_111,0.456
A8,img_112,0.7372
A8,img_113,0.7694
A8,img_114,0.7824
A8,img_115,0.7389
A8,img_116,0.3921
A8,img_117,0.7948
A8,img_118,0.818
A8,img_119,0.7986
A8,img_120,0.3672
A8,img_121,0.3735
A8,img_122,0.7832
A8,img_123,0.6619
A8,img_124,0.4209
A8,img_125,0.7556
A8,img_126,0.6806
A8,img_127,0.7586
A8,img_128,0.7198
A8,img_129,0.7204
A8,img_130,0.765
A8,img_131,0.7681
A8,img_132,0.7187
A8,img_133,0.3577
A8,img_134,0.7591
A8,img_135,0.2714
A8,img_136,0.7784
A8,img_137,0.3613
A8,img_138,0.7878
A8,img_139,0.8079
A8,img_140,0.7661
A8,img_141,0.7953
A8,img_142,0.3608
A8,img_143,0.7373
A8,img_144,0.4184
A8,img_145,0.8037
A8,img_146,0.7086
A8,img_147,0.4662
A8,img_148,0.3756
A8,img_149,0.7319
A8,img_150,0.3773
A8,img_151,0.7543
A8,img_152,0.8101
A8,img_153,0.8434
A8,img_154,0.7501
A8,img_155,0.7488
A8,img_156,0.272
A8,img_157,0.354
A8,img_158,0.6601
A8,img_159,0.7578
A8,img_160,0.7766
A8,img_161,0.5012
A8,img_162,0.6813
A8,img_163,0.759
A8,img_164,0.7778
A8,img_165,0.3475
A8,img_166,0.7744
A8,img_167,0.2549
A8,img_168,0.7498
A8,img_169,0.4381
A8,img_170,0.724
A8,img_171,0.4004
A8,img_172,0.3748
A8,img_173,0.4684
A8,img_174,0.7453
A8,img_175,0.7271
A8,img_176,0.7374
A8,img_177,0.7999
A8,img_178,0.3572
A8,img_179,0.3222
A8,img_180,0.4427
A8,img_181,0.8277
A8,img_182,0.7771
A8,img_183,0.3887
A8,img_184,0.7846
A8,img_185,0.7269
A8,img_186,0.7635
A8,img_187,0.7297
A8,img_188,0.4179
A8,img_189,0.74
A8,img_190,0.7366
A8,img_191,0.5164
A8,img_192,0.7536
A8,img_193,0.6973
A8,img_194,0.3695
A8,img_195,0.4936
A8,img_196,0.3807
A8,img_197,0.3508
A8,img_198,0.7961
A8,img_199,0.7674
A8,img_200,0.4029
A9,img_001,0.6888
A9,img_002,0.6934
A9,img_003,0.4499
A9,img_004,0.7469
A9,img_005,0.6689
A9,img_006,0.71
A9,img_007,0.7155
A9,img_008,0.7287
A9,img_009,0.5599
A9,img_010,0.696
A9,img_011,0.4635
A9,img_012,0.6828
A9,img_013,0.6568
A9,img_014,0.7054
A9,img_015,0.3736
A9,img_016,0.7392
A9,img_017,0.7156
A9,img_018,0.7389
A9,img_019,0.7229
A9,img_020,0.7189
A9,img_021,0.6931
A9,img_022,0.6702
A9,img_023,0.725
A9,img_024,0.7393
A9,img_025,0.4209
A9,img_026,0.7456
A9,img_027,0.7229
A9,img_028,0.6813
A9,img_029,0.7529
A9,img_030,0.7434
A9,img_031,0.6759
A9,img_032,0.7147
A9,img_033,0.7076
A9,img_034,0.7325
A9,img_035,0.6762
A9,img_036,0.7053
A9,img_037,0.7407
A9,img_038,0.6387
A9,img_039,0.6817
A9,img_040,0.673
A9,img_041,0.7313
A9,img_042,0.692
A9,img_043,0.4102
A9,img_044,0.5047
A9,img_045,0.6413
A9,img_046,0.7157
A9,img_047,0.6607
A9,img_048,0.6775
A9,img_049,0.6848
A9,img_050,0.6684
A9,img_051,0.6739
A9,img_052,0.6964
A9,img_053,0.7272
A9,img_054,0.6909
A9,img_055,0.6467
A9,img_056,0.791
A9,img_057,0.6903
A9,img_058,0.6594
A9,img_059,0.3982
A9,img_060,0.7356
A9,img_061,0.5113
A9,img_062,0.8121
A9,img_063,0.6484
A9,img_064,0.6751
A9,img_065,0.6911
A9,img_066,0.7113
A9,img_067,0.7314
A9,img_068,0.6863
A9,img_069,0.4164
A9,img_070,0.6764
A9,img_071,0.661
A9,img_072,0.6265
A9,img_073,0.6538
A9,img_074,0.7213
A9,img_075,0.69
A9,img_076,0.6511
A9,img_077,0.6807
A9,img_078,0.7091
A9,img_079,0.7655
A9,img_080,0.6719
A9,img_081,0.7277
A9,img_082,0.7049
A9,img_083,0.6912
A9,img_084,0.7073
A9,img_085,0.4255
A9,img_086,0.7166
A9,img_087,0.5633
A9,img_088,0.7198
A9,img_089,0.4525
A9,img_090,0.7094
A9,img_091,0.7029
A9,img_092,0.7568
A9,img_093,0.7389
A9,img_094,0.4714
A9,img_095,0.5667
A9,img_096,0.7416
A9,img_097,0.6991
A9,img_098,0.6706
A9,img_099,0.6959
A9,img_100,0.7724
A9,img_101,0.7585
A9,img_102,0.7253
A9,img_103,0.6862
A9,img_104,0.7088
A9,img_105,0.4178
A9,img_106,0.7694
A9,img_107,0.5186
A9,img_108,0.739
A9,img_109,0.7225
A9,img_110,0.6483
A9,img_111,0.7252
A9,img_112,0.6991
A9,img_113,0.7053
A9,img_114,0.7339
A9,img_115,0.7449
A9,img_116,0.7187
A9,img_117,0.6863
A9,img_118,0.7323
A9,img_119,0.6674
A9,img_120,0.6641
A9,img_121,0.6428
A9,img_122,0.7663
A9,img_123,0.6888
A9,img_124,0.6587
A9,img_125,0.5446
A9,img_126,0.7695
A9,img_127,0.7245
A9,img_128,0.7355
A9,img_129,0.7306
A9,img_130,0.7361
A9,img_131,0.7601
A9,img_132,0.7537
A9,img_133,0.7428
A9,img_134,0.7363
A9,img_135,0.7223
A9,img_136,0.6819
A9,img_137,0.6992
A9,img_138,0.6751
A9,img_139,0.686
A9,img_140,0.7012
A9,img_141,0.7012
A9,img_142,0.6869
A9,img_143,0.7319
A9,img_144,0.7435
A9,img_145,0.6996
A9,img_146,0.3774
A9,img_147,0.7312
A9,img_148,0.6833
A9,img_149,0.3159
A9,img_150,0.3888
A9,img_151,0.6807
A9,img_152,0.7923
A9,img_153,0.6696
A9,img_154,0.5087
A9,img_155,0.4067
A9,img_156,0.7131
A9,img_157,0.7246
A9,img_158,0.4103
A9,img_159,0.6886
A9,img_160,0.638
A9,img_161,0.709
A9,img_162,0.6536
A9,img_163,0.7551
A9,img_164,0.7654
A9,img_165,0.7083
A9,img_166,0.6776
A9,img_167,0.7185
A9,img_168,0.4547
A9,img_169,0.7313
A9,img_170,0.4512
A9,img_171,0.6845
A9,img_172,0.6733
A9,img_173,0.7135
A9,img_174,0.3781
A9,img_175,0.7286
A9,img_176,0.7423
A9,img_177,0.667
A9,img_178,0.7017
A9,img_179,0.3656
A9,img_180,0.7972
A9,img_181,0.6993
A9,img_182,0.6405
A9,img_183,0.7244
A9,img_184,0.6851
A9,img_185,0.6922
A9,img_186,0.7577
A9,img_187,0.6968
A9,img_188,0.703
A9,img_189,0.6893
A9,img_190,0.6863
A9,img_191,0.7009
A9,img_192,0.6759
A9,img_193,0.7274
A9,img_194,0.7041
A9,img_195,0.6825
A9,img_196,0.4985
A9,img_197,0.7345
A9,img_198,0.7251
A9,img_199,0.6631
A9,img_200,0.4826
A10,img_001,0.6463
A10,img_002,0.6408
A10,img_003,0.7098
A10,img_004,0.717
A10,img_005,0.7146
A10,img_006,0.7228
A10,img_007,0.6901
A10,img_008,0.6918
A10,img_009,0.6665
A10,img_010,0.6995
A10,img_011,0.6761
A10,img_012,0.6423
A10,img_013,0.7259
A10,img_014,0.703
A10,img_015,0.6544
A10,img_016,0.6882
A10,img_017,0.6255
A10,img_018,0.693
A10,img_019,0.7765
A10,img_020,0.759
A10,img_021,0.705
A10,img_022,0.7001
A10,img_023,0.7165
A10,img_024,0.6984
A10,img_025,0.7256
A10,img_026,0.6615
A10,img_027,0.6428
A10,img_028,0.698
A10,img_029,0.658
A10,img_030,0.7273
A10,img_031,0.7019
A10,img_032,0.6604
A10,img_033,0.696
A10,img_034,0.6914
A10,img_035,0.7029
A10,img_036,0.7046
A10,img_037,0.7466
A10,img_038,0.6493
A10,img_039,0.6897
A10,img_040,0.7018
A10,img_041,0.6875
A10,img_042,0.6878
A10,img_043,0.6716
A10,img_044,0.6667
A10,img_045,0.7192
A10,img_046,0.7091
A10,img_047,0.6853
A10,img_048,0.6447
A10,img_049,0.7091
A10,img_050,0.7312
A10,img_051,0.6859
A10,img_052,0.7115
A10,img_053,0.6914
A10,img_054,0.6745
A10,img_055,0.7017
A10,img_056,0.6798
A10,img_057,0.6651
A10,img_058,0.635
A10,img_059,0.6916
A10,img_060,0.6497
A10,img_061,0.7428
A10,img_062,0.6989
A10,img_063,0.7218
A10,img_064,0.6524
A10,img_065,0.6318
A10,img_066,0.7095
A10,img_067,0.6512
A10,img_068,0.6683
A10,img_069,0.6612
A10,img_070,0.727
A10,img_071,0.6421
A10,img_072,0.7172
A10,img_073,0.6626
A10,img_074,0.6834
A10,img_075,0.6541
A10,img_076,0.699
A10,img_077,0.7344
A10,img_078,0.6735
A10,img_079,0.6666
A10,img_080,0.6557
A10,img_081,0.7137
A10,img_082,0.7068
A10,img_083,0.6582
A10,img_084,0.7088
A10,img_085,0.7323
A10,img_086,0.7052
A10,img_087,0.6392
A10,img_088,0.677
A10,img_089,0.6717
A10,img_090,0.7091
A10,img_091,0.7399
A10,img_092,0.7343
A10,img_093,0.6593
A10,img_094,0.6682
A10,img_095,0.707
A10,img_096,0.6965
A10,img_097,0.7682
A10,img_098,0.639
A10,img_099,0.7284
A10,img_100,0.7202
A10,img_101,0.6484
A10,img_102,0.7242
A10,img_103,0.6789
A10,img_104,0.6884
A10,img_105,0.6946
A10,img_106,0.7627
A10,img_107,0.6667
A10,img_108,0.7251
A10,img_109,0.686
A10,img_110,0.6656
A10,img_111,0.6991
A10,img_112,0.6459
A10,img_113,0.7201
A10,img_114,0.6296
A10,img_115,0.6612
A10,img_116,0.6646
A10,img_117,0.6754
A10,img_118,0.6628
A10,img_119,0.6793
A10,img_120,0.7134
A10,img_121,0.6487
A10,img_122,0.6708
A10,img_123,0.7325
A10,img_124,0.7365
A10,img_125,0.678
A10,img_126,0.7142
A10,img_127,0.6717
A10,img_128,0.6885
A10,img_129,0.697
A10,img_130,0.6985
A10,img_131,0.7162
A10,img_132,0.729
A10,img_133,0.6808
A10,img_134,0.7522
A10,img_135,0.6605
A10,img_136,0.6878
A10,img_137,0.6602
A10,img_138,0.7238
A10,img_139,0.7141
A10,img_140,0.7173
A10,img_141,0.7268
A10,img_142,0.7272
A10,img_143,0.7302
A10,img_144,0.7267
A10,img_145,0.7605
A10,img_146,0.6989
A10,img_147,0.7107
A10,img_148,0.6775
A10,img_149,0.6982
A10,img_150,0.6506
A10,img_151,0.6737
A10,img_152,0.6743
A10,img_153,0.6973
A10,img_154,0.6674
A10,img_155,0.682
A10,img_156,0.7835
A10,img_157,0.6284
A10,img_158,0.7173
A10,img_159,0.7045
A10,img_160,0.7307
A10,img_161,0.693
A10,img_162,0.7119
A10,img_163,0.6583
A10,img_164,0.6687
A10,img_165,0.6503
A10,img_166,0.6965
A10,img_167,0.6376
A10,img_168,0.6693
A10,img_169,0.667
A10,img_170,0.6502
A10,img_171,0.6579
A10,img_172,0.6962
A10,img_173,0.7961
A10,img_174,0.7012
A10,img_175,0.7205
A10,img_176,0.6647
A10,img_177,0.7033
A10,img_178,0.673
A10,img_179,0.7539
A10,img_180,0.7159
A10,img_181,0.6734
A10,img_182,0.6444
A10,img_183,0.6954
A10,img_184,0.6439
A10,img_185,0.6555
A10,img_186,0.7159
A10,img_187,0.7333
A10,img_188,0.7204
A10,img_189,0.699
A10,img_190,0.7287
A10,img_191,0.7141
A10,img_192,0.6699
A10,img_193,0.7239
A10,img_194,0.7257
A10,img_195,0.6402
A10,img_196,0.6846
A10,img_197,0.7094
A10,img_198,0.7063
A10,img_199,0.66
A10,img_200,0.6828
