case_id,alg_01,alg_02,alg_03,alg_04,alg_05
case_1116,0.7419,0.7792,0.7586,0.767,0.7445
case_1117,0.8842,0.8967,0.8843,0.8698,0.8899
case_1118,0.8316,0.8347,0.858,0.8745,0.8328
case_1119,0.8335,0.8119,0.864,0.8357,0.8056
case_1120,0.8,0.7446,0.8204,0.8104,0.8096
case_1121,0.8177,0.8636,0.9046,0.8868,0.8955
case_1122,0.8303,0.8666,0.8605,0.8363,0.9021
case_1123,0.8211,0.827,0.8205,0.8166,0.8225
case_1124,0.8011,0.779,0.8025,0.7742,0.7443
case_1125,0.7305,0.8007,0.8336,0.7583,0.745
case_1126,0.8263,0.7884,0.8527,0.8037,0.8092
case_1127,0.9285,0.9133,0.9445,0.9346,0.9341
case_1128,0.704,0.6986,0.7619,0.725,0.7312
case_1129,0.7644,0.8056,0.8337,0.8003,0.803
case_1130,0.7971,0.7673,0.8118,0.7746,0.7962
case_1131,0.8129,0.8037,0.7981,0.7985,0.7858
case_1132,0.798,0.7791,0.8359,0.8236,0.801
case_1133,0.8528,0.8587,0.8662,0.8377,0.8546
case_1134,0.7642,0.7759,0.7899,0.7756,0.7591
case_1135,0.7927,0.8228,0.8096,0.8063,0.8252
case_1136,0.8267,0.8551,0.8818,0.8798,0.8368
case_1137,0.7943,0.8415,0.8116,0.7916,0.7998
case_1138,0.8598,0.8157,0.8519,0.8133,0.824
case_1139,0.8239,0.84,0.8437,0.8325,0.8508
case_1140,0.7588,0.808,0.8071,0.7998,0.8154
case_1141,0.8276,0.8581,0.857,0.8518,0.8128
case_1142,0.7724,0.779,0.7977,0.8378,0.8246
case_1143,0.7402,0.7546,0.7813,0.758,0.7521
case_1144,0.8292,0.8032,0.8105,0.8024,0.8518
case_1145,0.82,0.8226,0.8358,0.8049,0.846
case_1146,0.7877,0.7589,0.8164,0.7528,0.7311
case_1147,0.763,0.7872,0.8001,0.7542,0.7599
case_1148,0.7894,0.7872,0.7796,0.7576,0.7605
case_1149,0.6291,0.6481,0.6674,0.6654,0.6692
case_1150,0.7073,0.7211,0.7353,0.6908,0.7455
case_1151,0.8561,0.8558,0.8466,0.8225,0.7971
case_1152,0.7648,0.7925,0.8109,0.763,0.7648
case_1153,0.7395,0.7318,0.7807,0.7596,0.7412
case_1154,0.8004,0.7876,0.8478,0.7666,0.7954
case_1155,0.9078,0.8764,0.8814,0.8522,0.9192
case_1156,0.82,0.8403,0.8667,0.8133,0.8176
case_1157,0.7815,0.8124,0.8377,0.8335,0.8143
case_1158,0.8336,0.8715,0.8641,0.8628,0.8611
case_1159,0.8401,0.8193,0.8264,0.8408,0.8142
case_1160,0.806,0.787,0.8385,0.7877,0.7923
case_1161,0.7881,0.7743,0.8185,0.7551,0.7366
case_1162,0.7802,0.7912,0.812,0.7649,0.7987
case_1163,0.7616,0.7438,0.7979,0.783,0.7847
case_1164,0.8273,0.819,0.8596,0.7711,0.8087
case_1165,0.9551,0.9589,0.9442,0.9511,0.9304
case_1166,0.8586,0.8447,0.895,0.8587,0.9023
case_1167,0.7429,0.7589,0.8175,0.7823,0.7817
case_1168,0.9735,0.96,0.9738,0.9583,0.9958
case_1169,0.7378,0.749,0.7914,0.753,0.7346
case_1170,0.7457,0.7225,0.7311,0.7321,0.7107
case_1171,0.6872,0.6932,0.6765,0.6607,0.7058
case_1172,0.7633,0.7204,0.781,0.782,0.7627
case_1173,0.8413,0.8961,0.8538,0.8998,0.8479
case_1174,0.8073,0.8183,0.7882,0.812,0.8044
case_1175,0.8724,0.8401,0.8644,0.8894,0.8777
case_1176,0.6447,0.638,0.6337,0.6317,0.6063
case_1177,0.7829,0.8451,0.851,0.8225,0.8382
case_1178,0.7288,0.7126,0.7558,0.7205,0.7344
case_1179,0.8336,0.8608,0.8697,0.7789,0.8465
case_1180,0.6663,0.7001,0.721,0.733,0.7178
case_1181,0.7243,0.6991,0.7219,0.7459,0.7179
case_1182,0.7814,0.7783,0.8056,0.7734,0.7817
case_1183,0.7986,0.8068,0.8176,0.7672,0.8087
case_1184,0.8827,0.8877,0.9281,0.9444,0.8924
case_1185,0.8577,0.9157,0.9104,0.8913,0.8413
case_1186,0.7737,0.7626,0.7975,0.7523,0.7785
case_1187,0.7286,0.6863,0.695,0.6944,0.6895
case_1188,0.8523,0.8209,0.8226,0.8096,0.8425
case_1189,0.904,0.9159,0.9055,0.9283,0.8945
case_1190,0.7121,0.7392,0.7235,0.6742,0.7142
case_1191,0.7872,0.8248,0.7798,0.7669,0.7942
case_1192,0.7359,0.7826,0.79,0.7555,0.7913
case_1193,0.7874,0.7559,0.8056,0.7663,0.7943
case_1194,0.7756,0.7807,0.7818,0.7751,0.7833
case_1195,0.8426,0.8468,0.854,0.832,0.8275
case_1196,0.7976,0.8226,0.8415,0.8192,0.8254
case_1197,0.8035,0.7742,0.8271,0.7573,0.7976
case_1198,0.7918,0.7549,0.8243,0.767,0.791
case_1199,0.8215,0.8167,0.8603,0.8593,0.8593
case_1200,0.8043,0.8156,0.8402,0.8098,0.7849
case_1201,0.7319,0.7415,0.7665,0.7804,0.7273
case_1202,0.7815,0.8117,0.8104,0.824,0.8276
case_1203,0.7964,0.7803,0.7934,0.8072,0.8072
case_1204,0.8449,0.8494,0.9021,0.864,0.8744
case_1205,0.7106,0.6998,0.7166,0.6932,0.7174
case_1206,0.7845,0.8278,0.7805,0.7892,0.8061
case_1207,0.7934,0.7687,0.8151,0.8134,0.8041
case_1208,0.802,0.7809,0.7752,0.7512,0.7852
case_1209,0.8065,0.8119,0.81,0.8226,0.7894
case_1210,0.7366,0.7291,0.7731,0.7808,0.7655
case_1211,0.77,0.74,0.7575,0.746,0.7431
case_1212,0.7563,0.7601,0.7935,0.79,0.7595
case_1213,0.7957,0.8045,0.8624,0.8258,0.8003
case_1214,0.8254,0.853,0.8571,0.8274,0.8255
case_1215,0.6964,0.7351,0.7446,0.7154,0.7013
case_1216,0.8413,0.8656,0.9032,0.8686,0.8512
case_1217,0.7294,0.7526,0.7704,0.7287,0.7767
case_1218,0.7826,0.7749,0.7492,0.7588,0.7411
case_1219,0.8488,0.852,0.8685,0.8562,0.8933
case_1220,0.8185,0.8233,0.8817,0.818,0.8341
case_1221,0.7933,0.7868,0.8211,0.7807,0.7638
case_1222,0.7711,0.8405,0.8562,0.7859,0.8355
case_1223,0.8178,0.8302,0.8566,0.8071,0.8366
case_1224,0.8026,0.7989,0.8362,0.8153,0.7761
case_1225,0.7694,0.7814,0.7906,0.7628,0.8029
case_1226,0.8612,0.8678,0.8617,0.8813,0.8346
case_1227,0.7291,0.6908,0.7124,0.724,0.7184
case_1228,0.7941,0.8455,0.8627,0.805,0.8139
case_1229,0.8423,0.8184,0.7975,0.7829,0.8001
case_1230,0.7604,0.7479,0.7031,0.7272,0.7473
case_1231,0.8069,0.8212,0.8228,0.8436,0.8074
case_1232,0.7794,0.7971,0.7935,0.7983,0.7499
case_1233,0.7937,0.8271,0.8648,0.8184,0.8274
case_1234,0.7098,0.6783,0.7486,0.6984,0.7058
case_1235,0.8117,0.7978,0.8188,0.7984,0.7929
case_1236,0.7711,0.7654,0.7818,0.7804,0.7568
case_1237,0.8723,0.8765,0.924,0.87,0.8425
case_1238,0.7128,0.7524,0.7905,0.7938,0.7868
case_1239,0.8516,0.8251,0.8522,0.8304,0.847
case_1240,0.8192,0.827,0.8411,0.8122,0.7869
case_1241,0.8729,0.8721,0.9076,0.9025,0.883
case_1242,0.7754,0.7738,0.8199,0.7351,0.8072
case_1243,0.8752,0.8856,0.8973,0.8665,0.8809
case_1244,0.7654,0.7969,0.7821,0.7863,0.766
case_1245,0.695,0.6857,0.7125,0.6963,0.6968
case_1246,0.8982,0.9217,0.9114,0.9309,0.8787
case_1247,0.7755,0.7902,0.7885,0.7435,0.7956
case_1248,0.789,0.7623,0.7933,0.7582,0.7742
case_1249,0.7238,0.6978,0.7374,0.7047,0.6786
case_1250,0.8447,0.8236,0.8429,0.8494,0.8323
case_1251,0.7551,0.8221,0.8315,0.8071,0.7986
case_1252,0.699,0.7116,0.7124,0.672,0.7107
case_1253,0.8262,0.8468,0.8705,0.8601,0.8563
case_1254,0.8134,0.8224,0.8504,0.8312,0.8656
case_1255,0.8596,0.8709,0.9037,0.8672,0.8805
case_1256,0.7392,0.7514,0.7773,0.6971,0.7544
case_1257,0.857,0.8439,0.8924,0.8181,0.8355
case_1258,0.7334,0.7076,0.7722,0.7664,0.7286
case_1259,0.7477,0.7195,0.7452,0.7211,0.7269
case_1260,0.8092,0.8013,0.8824,0.8446,0.8233
case_1261,0.8019,0.7879,0.8436,0.8105,0.8204
case_1262,0.8387,0.8376,0.8374,0.8086,0.8286
case_1263,0.7603,0.8152,0.8361,0.797,0.7856
case_1264,0.6953,0.7001,0.7313,0.6909,0.7249
case_1265,0.8352,0.8319,0.8395,0.7948,0.798
case_1266,0.7402,0.6855,0.7479,0.7341,0.6909
case_1267,0.8057,0.7787,0.8365,0.7869,0.8243
case_1268,0.7781,0.7652,0.7875,0.7969,0.7909
case_1269,0.8535,0.8486,0.8978,0.894,0.8679
case_1270,0.7572,0.785,0.7803,0.7493,0.7405
case_1271,0.8125,0.8025,0.7987,0.8116,0.8174
case_1272,0.8132,0.7975,0.797,0.8242,0.8037
case_1273,0.776,0.8074,0.7869,0.7631,0.7697
case_1274,0.7959,0.8008,0.8071,0.772,0.7818
case_1275,0.7861,0.7927,0.8191,0.7644,0.799
case_1276,0.789,0.7931,0.8096,0.7692,0.7828
case_1277,0.7132,0.7252,0.7411,0.704,0.7397
case_1278,0.7705,0.7396,0.7664,0.7277,0.7459
case_1279,0.884,0.8975,0.9223,0.9018,0.9174
case_1280,0.7828,0.7747,0.7792,0.7966,0.7875
case_1281,0.8742,0.8805,0.9116,0.8821,0.9068
case_1282,0.8725,0.9131,0.9115,0.9091,0.8892
case_1283,0.7556,0.7774,0.7914,0.7757,0.7992
case_1284,0.7067,0.7411,0.771,0.7411,0.7697
case_1285,0.7454,0.7805,0.813,0.7804,0.7706
case_1286,0.767,0.7747,0.7821,0.7682,0.7506
case_1287,0.795,0.8326,0.8926,0.8136,0.8122
case_1288,0.71,0.7317,0.7196,0.7109,0.7303
case_1289,0.8658,0.8631,0.8999,0.8597,0.8675
case_1290,0.7195,0.6676,0.7278,0.6996,0.6804
case_1291,0.8081,0.8298,0.8533,0.8222,0.8382
case_1292,0.7113,0.7471,0.7728,0.7419,0.7841
case_1293,0.7776,0.7635,0.8153,0.7753,0.7632
case_1294,0.8124,0.7976,0.837,0.8226,0.8
case_1295,0.8666,0.8453,0.8814,0.8722,0.8547
case_1296,0.8842,0.8919,0.8932,0.8932,0.8769
case_1297,0.8513,0.8305,0.8319,0.8174,0.8164
case_1298,0.7412,0.7684,0.8274,0.7533,0.7535
case_1299,0.8469,0.8695,0.8492,0.8627,0.8483
case_1300,0.7023,0.7328,0.7262,0.6987,0.6915
case_1301,0.7633,0.7659,0.7726,0.7972,0.7522
case_1302,0.7573,0.8018,0.8291,0.8072,0.7601
case_1303,0.8546,0.8985,0.8749,0.8542,0.8236
case_1304,0.8492,0.8526,0.8754,0.8517,0.8634
case_1305,0.7335,0.7159,0.7295,0.7352,0.7361
case_1306,0.8422,0.8539,0.8334,0.8215,0.8073
case_1307,0.8459,0.815,0.9197,0.8405,0.862
case_1308,0.8582,0.8536,0.9019,0.8671,0.8748
case_1309,0.7903,0.7981,0.8183,0.8145,0.8173
case_1310,0.7935,0.757,0.7702,0.7784,0.7855
case_1311,0.7049,0.7157,0.7571,0.7284,0.7614
case_1312,0.7112,0.7558,0.7706,0.7242,0.7722
case_1313,0.7927,0.7764,0.8004,0.7829,0.8159
case_1314,0.8596,0.8291,0.9019,0.8729,0.8622
case_1315,0.8532,0.9185,0.9016,0.8595,0.8803
case_1316,0.8139,0.8067,0.8133,0.8378,0.8031
case_1317,0.7961,0.7887,0.8195,0.75,0.776
case_1318,0.8572,0.8858,0.8909,0.855,0.8326
case_1319,0.8337,0.8609,0.8778,0.8651,0.8643
case_1320,0.7331,0.7726,0.7704,0.7573,0.7482
case_1321,0.8196,0.8306,0.8419,0.7974,0.794
case_1322,0.8338,0.8106,0.8423,0.8367,0.8436
case_1323,0.8465,0.8432,0.8722,0.8198,0.8174
case_1324,0.8371,0.8464,0.8781,0.8543,0.8429
case_1325,0.8,0.8074,0.8058,0.7943,0.8341
case_1326,0.7698,0.827,0.8259,0.7644,0.8032
case_1327,0.8228,0.8478,0.8512,0.8276,0.835
case_1328,0.747,0.7202,0.7722,0.7306,0.7357
case_1329,0.7268,0.7126,0.7532,0.7038,0.7009
case_1330,0.791,0.7808,0.7555,0.756,0.7603
case_1331,0.765,0.7486,0.7821,0.7454,0.7504
case_1332,0.8499,0.8195,0.8465,0.8282,0.8454
case_1333,0.7746,0.8169,0.851,0.8013,0.8143
case_1334,0.7947,0.7694,0.8169,0.7754,0.7845
case_1335,0.766,0.7543,0.7851,0.7908,0.7645
case_1336,0.7585,0.7679,0.7289,0.7447,0.7683
case_1337,0.8984,0.8855,0.9169,0.8991,0.9248
case_1338,0.7509,0.7862,0.7782,0.7822,0.7729
case_1339,0.8115,0.8338,0.8153,0.8409,0.8129
case_1340,0.6949,0.7312,0.7426,0.6908,0.7246
case_1341,0.8354,0.809,0.8454,0.7691,0.819
case_1342,0.9005,0.8906,0.926,0.9084,0.9207
case_1343,0.8488,0.8094,0.8832,0.8278,0.8154
case_1344,0.83,0.7883,0.8059,0.8122,0.786
case_1345,0.8788,0.9072,0.8896,0.8809,0.8784
case_1346,0.6532,0.6776,0.6855,0.696,0.6911
case_1347,0.7964,0.7853,0.8105,0.7686,0.8102
case_1348,0.9476,0.9191,0.9455,0.9217,0.924
case_1349,0.9071,0.8639,0.9199,0.8875,0.9113
case_1350,0.7723,0.7572,0.7804,0.7477,0.7755
case_1351,0.7177,0.7122,0.7731,0.7364,0.7587
case_1352,0.928,0.9286,0.9939,0.9642,0.9178
case_1353,0.8308,0.8162,0.8606,0.8179,0.8473
case_1354,0.863,0.8642,0.899,0.901,0.8568
case_1355,0.8362,0.7988,0.8541,0.8404,0.841
case_1356,0.8025,0.8514,0.851,0.8236,0.8068
case_1357,0.7663,0.7715,0.7745,0.7576,0.7714
case_1358,0.772,0.8061,0.7992,0.7692,0.8149
case_1359,0.8678,0.8863,0.8885,0.8301,0.8409
case_1360,0.7677,0.7838,0.8055,0.7686,0.8037
case_1361,0.8726,0.8166,0.8648,0.8586,0.8338
case_1362,0.91,0.9512,0.9565,0.9023,0.9373
case_1363,0.8548,0.8592,0.8578,0.83,0.8294
case_1364,0.885,0.9116,0.943,0.9503,0.9061
case_1365,0.7857,0.7827,0.8231,0.8293,0.793
case_1366,0.8023,0.8245,0.8003,0.764,0.7835
case_1367,0.7546,0.7558,0.7724,0.7516,0.7624
case_1368,0.8407,0.8183,0.8999,0.8343,0.8223
case_1369,0.8683,0.8798,0.914,0.86,0.896
case_1370,0.7826,0.8122,0.8198,0.7878,0.8053
case_1371,0.9515,0.9521,0.9681,0.9391,0.9665
case_1372,0.7953,0.8396,0.8638,0.8604,0.8564
case_1373,0.7156,0.7488,0.7287,0.7447,0.7407
case_1374,0.7355,0.7424,0.7597,0.7698,0.7102
case_1375,0.7931,0.7897,0.8005,0.7943,0.808
case_1376,0.8742,0.8426,0.8547,0.8633,0.8686
case_1377,0.7548,0.7747,0.7865,0.7748,0.7969
case_1378,0.674,0.7194,0.7062,0.695,0.6583
case_1379,0.7638,0.7264,0.7285,0.7289,0.7535
case_1380,0.808,0.8241,0.7971,0.7992,0.793
case_1381,0.7207,0.7516,0.7627,0.7213,0.7485
case_1382,0.7729,0.7611,0.7847,0.7877,0.7715
case_1383,0.7681,0.7458,0.7607,0.732,0.7924
case_1384,0.8321,0.8384,0.8596,0.8554,0.8276
case_1385,0.7756,0.7582,0.7441,0.7475,0.7643
case_1386,0.8771,0.891,0.8953,0.8708,0.897
case_1387,0.7453,0.7462,0.7374,0.6985,0.7429
case_1388,0.829,0.8168,0.8582,0.8356,0.8121
case_1389,0.8268,0.8601,0.8568,0.861,0.8534
case_1390,0.7487,0.7884,0.8308,0.7551,0.7745
case_1391,0.7759,0.7945,0.8301,0.8028,0.8164
case_1392,0.8688,0.8527,0.8931,0.8422,0.8656
case_1393,0.7705,0.7912,0.8033,0.7717,0.7843
case_1394,0.8076,0.7939,0.7975,0.8038,0.8176
case_1395,0.8187,0.8709,0.8717,0.855,0.8553
case_1396,0.8671,0.8629,0.9017,0.8636,0.8335
case_1397,0.7447,0.7353,0.7829,0.7588,0.7406
case_1398,0.8013,0.8385,0.8617,0.82,0.8441
case_1399,0.7796,0.7921,0.8238,0.7895,0.7581
case_1400,0.764,0.7864,0.8209,0.7767,0.8162
case_1401,0.8882,0.8726,0.9107,0.866,0.9002
case_1402,0.826,0.8612,0.8583,0.8706,0.8875
case_1403,0.8556,0.8666,0.8955,0.8875,0.8534
case_1404,0.7758,0.7835,0.809,0.7838,0.8238
case_1405,0.8648,0.8441,0.8914,0.8527,0.8857
case_1406,0.7415,0.7417,0.7612,0.7612,0.7615
case_1407,0.8487,0.8142,0.841,0.8309,0.8297
case_1408,0.9376,0.9433,0.9189,0.8488,0.8901
case_1409,0.8364,0.8452,0.8588,0.8582,0.8339
case_1410,0.7895,0.8033,0.8208,0.8085,0.792
case_1411,0.7731,0.7996,0.7863,0.8005,0.7677
case_1412,0.7922,0.7863,0.8165,0.8103,0.8267
case_1413,0.8436,0.8197,0.817,0.8494,0.8258
case_1414,0.7818,0.7788,0.8314,0.7872,0.7781
case_1415,0.7128,0.7526,0.7512,0.7329,0.7445
case_1416,0.8829,0.842,0.8543,0.8178,0.8285
case_1417,0.7724,0.8037,0.7917,0.8158,0.7959
case_1418,0.8259,0.8607,0.8738,0.8611,0.8625
case_1419,0.7774,0.7935,0.8129,0.7843,0.7904
case_1420,0.7957,0.8139,0.8664,0.8055,0.8191
case_1421,0.8906,0.8727,0.9032,0.8991,0.9062
case_1422,0.8645,0.8711,0.9109,0.896,0.9079
case_1423,0.761,0.7759,0.7987,0.7498,0.7773
case_1424,0.8209,0.8406,0.8641,0.8224,0.8481
case_1425,0.8583,0.8244,0.8523,0.8032,0.8336
case_1426,0.8559,0.8623,0.8804,0.864,0.8809
case_1427,0.7906,0.8047,0.8091,0.7734,0.8151
case_1428,0.8388,0.8695,0.8636,0.8382,0.8913
case_1429,0.7832,0.8144,0.8206,0.8162,0.7831
case_1430,0.7901,0.7864,0.7965,0.7696,0.7878
case_1431,0.6983,0.7361,0.725,0.7157,0.6735
case_1432,0.7777,0.7512,0.7838,0.7926,0.7827
case_1433,0.81,0.7751,0.8221,0.8001,0.7938
case_1434,0.7288,0.6771,0.7462,0.7156,0.7325
case_1435,0.7972,0.7988,0.8447,0.7841,0.8182
case_1436,0.8139,0.8675,0.8774,0.8301,0.8411
case_1437,0.7444,0.736,0.765,0.7662,0.7329
case_1438,0.7647,0.7671,0.8139,0.8099,0.7908
case_1439,0.8935,0.8905,0.8998,0.9072,0.9152
case_1440,0.8146,0.8415,0.8452,0.7974,0.8257
case_1441,0.805,0.7654,0.8284,0.7692,0.7781
case_1442,0.6891,0.6879,0.707,0.6916,0.7457
case_1443,0.6481,0.7015,0.7071,0.7011,0.6917
case_1444,0.766,0.7605,0.8041,0.7512,0.7895
case_1445,0.7871,0.7925,0.8013,0.7991,0.7675
case_1446,0.6982,0.7337,0.7554,0.6893,0.7026
case_1447,0.86,0.8926,0.9175,0.884,0.8975
case_1448,0.8153,0.8215,0.8518,0.8416,0.8302
case_1449,0.8363,0.8094,0.8611,0.8263,0.8147
case_1450,0.7947,0.7732,0.8112,0.7695,0.8095
case_1451,0.8522,0.8939,0.9027,0.8298,0.8875
case_1452,0.8395,0.829,0.8625,0.8496,0.8701
case_1453,0.8654,0.8895,0.8542,0.8852,0.8759
case_1454,0.737,0.7493,0.794,0.7465,0.7567
case_1455,0.806,0.789,0.8179,0.8244,0.8198
case_1456,0.8406,0.8539,0.8729,0.8435,0.8562
case_1457,0.799,0.773,0.8273,0.793,0.7757
case_1458,0.8338,0.8179,0.8612,0.8275,0.8388
case_1459,0.8375,0.8228,0.8602,0.7922,0.8446
case_1460,0.8705,0.8662,0.9146,0.8813,0.8709
case_1461,0.7679,0.7677,0.7932,0.7562,0.7258
case_1462,0.6903,0.702,0.7269,0.6976,0.7213
case_1463,0.8215,0.8097,0.8499,0.8394,0.8211
case_1464,0.8041,0.8173,0.7959,0.8047,0.7657
case_1465,0.9221,0.9581,0.9383,0.8955,0.9127
case_1466,0.7463,0.7355,0.7828,0.7648,0.7671
case_1467,0.8226,0.8517,0.8557,0.8254,0.8348
case_1468,0.8713,0.8824,0.9114,0.8726,0.8805
case_1469,0.7107,0.7262,0.7351,0.7007,0.7107
case_1470,0.7702,0.744,0.7659,0.7671,0.7857
case_1471,0.79,0.8176,0.8553,0.7875,0.8231
case_1472,0.8046,0.8155,0.8251,0.8178,0.8338
case_1473,0.8465,0.8783,0.891,0.8499,0.8737
case_1474,0.8126,0.8367,0.849,0.8116,0.8342
case_1475,0.7416,0.7631,0.8073,0.7983,0.771
case_1476,0.7296,0.7359,0.7446,0.7578,0.7614
case_1477,0.875,0.8275,0.8558,0.8325,0.8631
case_1478,0.8524,0.8778,0.9077,0.8729,0.8728
case_1479,0.7151,0.7146,0.7773,0.6947,0.7389
case_1480,0.7529,0.7685,0.7852,0.7865,0.7796
case_1481,0.774,0.7824,0.8028,0.7742,0.7487
case_1482,0.8404,0.8351,0.8659,0.8075,0.8313
case_1483,0.7215,0.7309,0.763,0.7472,0.6956
case_1484,0.7413,0.7122,0.7019,0.7436,0.7555
case_1485,0.8585,0.8841,0.8944,0.9001,0.8774
case_1486,0.7798,0.757,0.8254,0.7587,0.7429
case_1487,0.8427,0.8375,0.8306,0.8135,0.8283
case_1488,0.9107,0.8932,0.9718,0.9402,0.8948
case_1489,0.7365,0.7575,0.7473,0.7213,0.7479
case_1490,0.7606,0.7882,0.775,0.7558,0.7659
case_1491,0.7318,0.7336,0.7697,0.7138,0.7154
case_1492,0.7678,0.7797,0.7827,0.7885,0.7979
case_1493,0.7781,0.7779,0.8165,0.7768,0.7508
case_1494,0.7164,0.7034,0.7122,0.7071,0.6643
case_1495,0.8019,0.7744,0.8559,0.7778,0.8022
case_1496,0.7506,0.7809,0.7866,0.7588,0.7732
case_1497,0.7222,0.7287,0.7429,0.7281,0.7377
case_1498,0.8467,0.8667,0.8401,0.8275,0.8446
case_1499,0.7427,0.7603,0.7906,0.7321,0.7438
case_1500,0.6948,0.7529,0.7652,0.7449,0.7336
case_1501,0.8368,0.8387,0.8397,0.8145,0.8514
case_1502,0.7924,0.7919,0.8631,0.828,0.8024
case_1503,0.8518,0.8456,0.8986,0.8326,0.8706
case_1504,0.8456,0.8367,0.8575,0.8064,0.8331
case_1505,0.7325,0.7438,0.723,0.7242,0.73
case_1506,0.7527,0.7129,0.7635,0.718,0.7378
case_1507,0.7708,0.7703,0.7163,0.7279,0.7346
case_1508,0.8205,0.8155,0.8605,0.8649,0.8133
case_1509,0.7857,0.7642,0.8088,0.8097,0.8018
case_1510,0.8856,0.8883,0.8885,0.8881,0.916
case_1511,0.7685,0.7721,0.7853,0.7815,0.7872
case_1512,0.9115,0.9294,0.9187,0.9361,0.9464
case_1513,0.8065,0.7662,0.7818,0.7716,0.7997
case_1514,0.7511,0.7396,0.8001,0.7839,0.7698
case_1515,0.8851,0.8765,0.9073,0.8712,0.8836
case_1516,0.8573,0.8611,0.8942,0.8536,0.8552
case_1517,0.892,0.8636,0.8791,0.8969,0.857
case_1518,0.7407,0.7494,0.7917,0.7517,0.7656
case_1519,0.7338,0.7418,0.7507,0.7349,0.7384
case_1520,0.8615,0.8357,0.8705,0.8471,0.8654
case_1521,0.6524,0.6821,0.7093,0.6619,0.646
case_1522,0.8254,0.8285,0.8697,0.8635,0.8261
case_1523,0.6121,0.5984,0.6492,0.6595,0.6332
case_1524,0.8341,0.7977,0.8319,0.8137,0.8299
case_1525,0.7638,0.8087,0.8458,0.7895,0.8215
case_1526,0.8327,0.757,0.8236,0.7947,0.8071
case_1527,0.7851,0.7787,0.83,0.8149,0.7828
case_1528,0.7971,0.7977,0.7919,0.777,0.772
case_1529,0.8293,0.7935,0.8254,0.7959,0.815
case_1530,0.7971,0.8163,0.7996,0.8124,0.8014
case_1531,0.8329,0.7705,0.8696,0.7882,0.8389
case_1532,0.8008,0.8398,0.8224,0.8193,0.7882
case_1533,0.82,0.871,0.8579,0.83,0.8255
case_1534,0.8213,0.8434,0.8624,0.8121,0.8424
case_1535,0.6911,0.6556,0.7023,0.6519,0.6775
case_1536,0.8204,0.8503,0.8621,0.8089,0.8377
case_1537,0.8221,0.8048,0.8302,0.7914,0.8169
case_1538,0.8414,0.7914,0.8386,0.792,0.7984
case_1539,0.8165,0.8021,0.8645,0.8371,0.83
case_1540,0.9035,0.8966,0.9611,0.9221,0.9216
case_1541,0.6762,0.7001,0.7423,0.7344,0.7235
case_1542,0.7563,0.7582,0.7516,0.7277,0.7576
case_1543,0.7053,0.7085,0.7355,0.729,0.7171
case_1544,0.8454,0.8408,0.8809,0.8395,0.8592
case_1545,0.8324,0.8527,0.8685,0.8392,0.8581
case_1546,0.8032,0.8653,0.8759,0.8609,0.86
case_1547,0.775,0.7729,0.8161,0.8088,0.7789
case_1548,0.8308,0.8115,0.7726,0.8072,0.7786
case_1549,0.7921,0.7668,0.8168,0.822,0.7772
case_1550,0.8659,0.8726,0.857,0.8837,0.8836
case_1551,0.8204,0.8175,0.845,0.8062,0.7849
case_1552,0.7627,0.7861,0.8025,0.7946,0.7983
case_1553,0.7653,0.7201,0.7549,0.719,0.7172
case_1554,0.8152,0.8399,0.8765,0.8026,0.8454
case_1555,0.7459,0.7606,0.7744,0.7558,0.7682
case_1556,0.8251,0.8036,0.8266,0.8146,0.8299
case_1557,0.7872,0.8411,0.8816,0.8149,0.8547
case_1558,0.8795,0.8555,0.9485,0.8549,0.8868
case_1559,0.7432,0.773,0.7612,0.779,0.7409
case_1560,0.7019,0.7188,0.7591,0.6919,0.715
case_1561,0.6629,0.6779,0.717,0.7008,0.6482
case_1562,0.7072,0.7283,0.7537,0.7015,0.6859
case_1563,0.8762,0.8408,0.8718,0.8304,0.8452
case_1564,0.7332,0.7545,0.7643,0.7369,0.764
case_1565,0.746,0.7304,0.7946,0.7323,0.7761
case_1566,0.7595,0.7807,0.7584,0.762,0.7259
case_1567,0.8435,0.8151,0.8484,0.7929,0.7875
case_1568,0.8572,0.886,0.9387,0.9085,0.9075
case_1569,0.8116,0.8394,0.8492,0.8044,0.8153
case_1570,0.8015,0.8083,0.8306,0.7766,0.824
case_1571,0.7479,0.7323,0.7556,0.7396,0.7223
case_1572,0.7952,0.7708,0.8217,0.7883,0.7745
case_1573,0.7713,0.8149,0.8295,0.7803,0.7827
case_1574,0.7977,0.8261,0.8747,0.8486,0.8414
case_1575,0.9767,0.9396,0.955,0.9463,0.9565
case_1576,0.8302,0.8089,0.8376,0.8219,0.8717
case_1577,0.7371,0.7362,0.7339,0.7081,0.7063
case_1578,0.7748,0.7622,0.8475,0.7679,0.7995
case_1579,0.8057,0.7823,0.8093,0.7709,0.8081
case_1580,0.7383,0.7576,0.7872,0.733,0.7628
case_1581,0.7957,0.8226,0.8337,0.8298,0.8368
case_1582,0.8101,0.8165,0.8473,0.8237,0.845
case_1583,0.6774,0.6895,0.6978,0.7158,0.6838
case_1584,0.7935,0.7937,0.8111,0.8252,0.8112
case_1585,0.8092,0.7717,0.858,0.7799,0.8434
case_1586,0.8577,0.8616,0.897,0.8357,0.8607
case_1587,0.8858,0.9508,0.9084,0.8942,0.9328
